ReleaseYear,NumApps
"July 30, 2014",2
"August 27, 2017",2
"September 23, 2016",2
"July 23, 2014",2
"November 22, 2016",2
"June 16, 2016",2
"December 22, 2015",2
"March 5, 2015",2
"September 17, 2017",2
"December 15, 2016",2
"March 26, 2017",2
"September 3, 2015",2
"August 3, 2015",2
"May 19, 2017",2
"January 14, 2017",2
"March 4, 2016",2
"April 15, 2017",2
"November 18, 2013",2
"June 10, 2017",2
"August 18, 2015",2
"June 24, 2014",2
"September 10, 2017",2
"May 25, 2015",2
"January 31, 2017",2
"March 4, 2018",2
"March 20, 2015",2
"January 27, 2016",2
"June 8, 2015",2
"November 17, 2016",2
"March 12, 2015",2
"March 20, 2017",2
"July 19, 2017",2
"June 1, 2016",2
"September 30, 2015",2
"November 18, 2017",2
"October 21, 2016",2
"December 9, 2017",2
"January 25, 2017",2
"July 12, 2014",2
"February 23, 2017",2
"February 14, 2017",2
"September 30, 2016",2
"September 28, 2013",2
"August 27, 2016",2
"February 9, 2016",2
"August 16, 2015",2
"January 11, 2014",2
"August 26, 2015",2
"September 10, 2014",2
"January 26, 2017",2
"October 20, 2015",2
"May 23, 2016",2
"January 24, 2017",2
"May 20, 2014",2
"December 4, 2014",2
"August 11, 2015",2
"December 12, 2016",2
"December 24, 2015",2
"January 12, 2017",2
"December 6, 2014",2
"August 3, 2017",2
"June 5, 2017",2
"October 17, 2016",2
"October 9, 2015",2
"September 14, 2016",2
"February 6, 2017",2
"May 7, 2018",2
"May 27, 2015",2
"October 23, 2016",2
"July 16, 2017",2
"July 11, 2015",2
"January 22, 2014",2
"June 19, 2017",2
"January 20, 2015",2
"September 14, 2015",1
"December 28, 2017",1
"August 3, 2016",1
"July 2, 2017",1
"October 6, 2014",1
"April 17, 2016",1
"August 30, 2014",1
"March 19, 2017",1
"March 12, 2017",1
"August 7, 2015",1
"July 20, 2013",1
"July 31, 2013",1
"June 23, 2017",1
"January 4, 2016",1
"September 19, 2012",1
"November 13, 2015",1
"March 25, 2017",1
"January 16, 2016",1
"March 20, 2014",1
"September 15, 2015",1
"March 26, 2015",1
"October 18, 2014",1
"August 15, 2017",1
"November 11, 2017",1
"December 30, 2016",1
"October 29, 2014",1
"August 11, 2014",1
"June 12, 2013",1
"September 16, 2014",1
"September 3, 2017",1
"September 13, 2015",1
"August 12, 2016",1
"August 25, 2017",1
"July 27, 2017",1
"August 20, 2016",1
"April 8, 2017",1
"November 20, 2013",1
"December 29, 2014",1
"September 28, 2016",1
"August 28, 2014",1
"April 29, 2017",1
"February 5, 2016",1
"January 7, 2017",1
"September 2, 2017",1
"December 31, 2014",1
"June 4, 2013",1
"April 9, 2012",1
"June 10, 2016",1
"December 17, 2015",1
"March 30, 2016",1
"October 14, 2016",1
"July 7, 2015",1
"September 21, 2016",1
"November 4, 2016",1
"February 5, 2015",1
"May 6, 2014",1
"September 22, 2015",1
"August 13, 2017",1
"December 20, 2015",1
"February 10, 2016",1
"December 18, 2013",1
"August 12, 2015",1
"May 6, 2015",1
"April 1, 2016",1
"July 24, 2016",1
"March 16, 2015",1
"July 10, 2015",1
"March 23, 2016",1
"September 19, 2013",1
"February 18, 2015",1
"June 2, 2013",1
"February 13, 2017",1
"August 18, 2017",1
"August 7, 2017",1
"March 13, 2014",1
"January 9, 2015",1
"March 18, 2018",1
"February 7, 2017",1
"June 29, 2011",1
"September 11, 2016",1
"July 10, 2016",1
"November 20, 2015",1
"September 25, 2013",1
"April 30, 2017",1
"May 14, 2016",1
"September 4, 2017",1
"December 1, 2011",1
"January 27, 2018",1
"April 10, 2014",1
"February 7, 2016",1
"January 11, 2015",1
"September 30, 2014",1
"January 5, 2016",1
"March 6, 2013",1
"October 22, 2014",1
"May 1, 2014",1
"December 14, 2015",1
"November 28, 2012",1
"May 19, 2015",1
"November 10, 2016",1
"March 31, 2017",1
"February 13, 2014",1
"January 22, 2015",1
"January 21, 2017",1
"December 5, 2013",1
"September 30, 2017",1
"June 17, 2016",1
"March 12, 2016",1
"July 31, 2014",1
"September 26, 2016",1
"September 20, 2014",1
"July 9, 2014",1
"December 10, 2015",1
"February 23, 2014",1
"October 3, 2015",1
"July 16, 2015",1
"June 7, 2016",1
"February 2, 2015",1
"September 29, 2017",1
"November 9, 2014",1
"August 21, 2015",1
"August 5, 2014",1
"June 29, 2017",1
"January 20, 2014",1
"July 12, 2016",1
"May 1, 2016",1
"March 8, 2015",1
"July 3, 2013",1
"August 26, 2014",1
"November 1, 2016",1
"April 19, 2017",1
"April 18, 2011",1
"November 4, 2014",1
"December 3, 2016",1
"July 31, 2016",1
"November 23, 2015",1
"September 30, 2013",1
"August 19, 2017",1
"May 12, 2016",1
"November 8, 2012",1
"October 1, 2013",1
"March 6, 2014",1
"September 23, 2015",1
"August 28, 2016",1
"March 22, 2015",1
"May 1, 2015",1
"December 26, 2013",1
"May 4, 2017",1
"May 24, 2015",1
"March 2, 2016",1
"March 16, 2011",1
"August 9, 2013",1
"July 1, 2015",1
"December 17, 2013",1
"December 2, 2014",1
"April 11, 2016",1
"January 29, 2016",1
"June 5, 2015",1
"November 15, 2016",1
"April 11, 2011",1
"May 21, 2015",1
"December 3, 2015",1
"September 27, 2012",1
"May 13, 2015",1
"August 7, 2014",1
"May 11, 2016",1
"May 25, 2017",1
"September 26, 2015",1
"January 1, 2016",1
"May 2, 2015",1
"January 23, 2016",1
"August 31, 2015",1
"March 29, 2016",1
"June 30, 2014",1
"April 29, 2016",1
"February 12, 2015",1
"May 3, 2016",1
"March 13, 2015",1
"May 20, 2017",1
"November 14, 2016",1
"April 14, 2016",1
"August 22, 2013",1
"September 15, 2016",1
"November 6, 2014",1
"November 29, 2016",1
"September 23, 2013",1
"June 14, 2017",1
"June 12, 2017",1
"September 2, 2015",1
"March 29, 2017",1
"November 6, 2016",1
"March 29, 2015",1
"August 27, 2014",1
"June 26, 2011",1
"June 3, 2015",1
"July 25, 2015",1
"August 8, 2016",1
"November 3, 2015",1
"September 25, 2015",1
"March 8, 2016",1
"July 1, 2013",1
"January 10, 2016",1
"January 14, 2015",1
"September 20, 2011",1
"February 10, 2013",1
"December 22, 2014",1
"September 9, 2016",1
"December 16, 2017",1
"December 3, 2011",1
"August 19, 2014",1
"April 3, 2017",1
"November 16, 2015",1
"June 26, 2015",1
"July 1, 2017",1
"December 29, 2016",1
"February 4, 2016",1
"July 3, 2014",1
"January 28, 2017",1
"March 17, 2016",1
"August 10, 2015",1
"June 13, 2014",1
"January 17, 2012",1
"March 9, 2014",1
"January 13, 2015",1
"November 22, 2012",1
"August 26, 2016",1
"December 28, 2015",1
"November 5, 2017",1
"March 30, 2015",1
